Time,Wash Filtrate to Digester - Total Flow,Wash Filtrate Vertical Nozzle,White Liquor Flow to ITC,H-factor,H-factor Co-Current,H-factor Target,H-factor Counter-Current,Volumetric Chip Flow,Chip Mass Flow from Piles,Spruce Saw Mill Chips Share,Spruce Roundwood Chip Share,Pine Roundwood Chip Share,White Liquor Dosage to Top Circulation,White Liquor Dosage to ITC-circulation,Digester White Liquor Dosage,White Liquor Total Dosage,White Liquor Temperature,White Liquor Flow to Top Circulation,White Liquor Flow to Digester Top,White Liquor Flow to Digester Plant,White Liquor Flow to High Pressure Feeder,Chip Feeding Screw Speed,Digester Chip Level Bottom Sensor,Digester Chip Level Middle Sensor,Digester Chip Level Top Sensor,Digester Steam Space Temperature,Digester Pressure Control,Hot Spent Digester Liquor Specific Flow to Impregnation Vessel,Digester Production,Digester Long Level,Digester Chip Level Control,Digester Dilution Factor,Digester Short Level,Blow Kappa,Blow Temperature,Blow Production,Weak Black Liquor to Evaporation Plant Residual Alkali
2018-11-17 05:30:00,110.2245,99.17144,0.666082,654.5113,343.3514,640.0,311.1599,562.5585,28.57158,0.0,0.0,100.3589,5.15154,0.399492,16.89832,21.86002,128.4995,8.683814,28.17975,36.43786,4.015447,30.90585,20.38973,20.72695,0.0,147.3503,0.347943,2.7,900.726,88.44555,18.03286,2.087241,48.00631,27.0681,81.31033,944.3789,9.08
2018-11-17 05:40:00,110.1122,98.94392,0.664136,661.8202,346.3676,640.0,315.4526,633.1141,32.40237,0.0,0.0,100.0763,5.261966,0.398878,16.93842,21.98677,128.5935,8.613268,28.20797,36.73924,3.951045,30.9248,20.83314,22.28935,0.0,147.5319,0.347886,2.7,901.0746,88.48584,16.1114,2.120218,48.22581,26.91316,81.29632,935.1744,9.08
2018-11-17 05:50:00,110.5644,99.35569,0.663386,641.097,347.7459,640.0,293.3511,639.0107,32.13532,0.0,0.0,99.8822,5.363729,0.398771,17.02149,22.13347,128.6345,9.057152,28.32152,36.96691,4.020179,30.91652,21.67803,21.12762,0.0,147.6206,0.348064,2.7,901.1793,88.58454,19.01828,2.094056,48.28634,26.75613,81.33907,943.5457,9.08
2018-11-17 06:00:00,111.6846,100.5102,0.667563,636.6735,340.1161,640.0,296.5574,566.5072,28.39081,0.0,0.0,99.83457,5.597996,0.401574,17.12981,22.39927,128.4924,9.290218,28.46747,36.98029,4.015846,30.9182,21.05631,20.18969,0.0,147.4961,0.348911,2.69966,901.0532,88.60841,19.94156,2.07488,48.21948,26.29543,81.32839,942.8271,9.08
2018-11-17 06:10:00,113.5258,101.869,0.683108,648.1323,344.1459,640.0,303.9865,476.253,24.19455,0.0,0.0,100.1131,5.506596,0.398238,17.12967,22.35945,128.2837,9.268646,29.39063,38.28742,3.999655,31.89123,21.53525,21.38534,0.0,147.6999,0.347761,2.675004,930.5841,88.8215,16.25405,2.121525,48.34011,25.98184,81.47342,959.3496,9.08
2018-11-17 06:20:00,123.6551,110.7568,0.725931,624.2362,334.4205,640.0,289.8157,550.6652,29.01683,0.0,0.0,100.5499,5.541386,0.397306,17.18311,22.46968,127.6497,10.01368,31.20843,40.79559,4.002117,33.83695,22.10496,21.85182,0.0,147.4327,0.345044,2.670447,986.5701,88.8764,24.42096,2.165284,48.86853,26.4581,81.53864,1012.189,9.08
2018-11-17 06:30:00,129.1548,115.9907,0.766136,625.4283,333.1889,640.0,292.2394,649.9713,34.37414,0.0,0.0,100.1232,5.356444,0.398811,17.23292,22.32254,127.1004,10.37824,32.95609,42.6265,3.993763,35.68657,19.48332,22.96492,0.0,147.3895,0.345788,2.676696,1040.27,88.75604,13.18832,2.168507,47.5843,27.18756,81.63058,1053.554,9.08
2018-11-17 06:40:00,130.378,117.4734,0.776188,662.9943,344.3927,640.0,318.6016,684.0683,35.36279,0.0,0.0,99.96096,5.278017,0.401017,17.34309,22.34725,127.0207,10.3117,33.58138,43.41626,4.001871,36.15162,18.75876,22.44993,0.0,147.7553,0.348354,2.698129,1052.915,88.39976,8.505868,2.104022,47.23212,27.31301,81.75942,1070.794,9.08
2018-11-17 06:50:00,129.7787,116.9118,0.775408,674.5096,348.1071,640.0,326.4025,682.5126,35.03447,0.0,0.0,99.73909,5.243345,0.399885,17.37213,22.33751,127.0727,10.16444,33.65437,43.26176,4.000399,36.13846,18.42553,21.1309,0.0,147.8824,0.349798,2.699951,1052.46,88.43868,5.359688,2.069493,47.09318,27.50517,81.68155,1063.52,9.08
2018-11-17 07:00:00,129.7799,116.5589,0.775443,655.7381,356.0545,640.0,299.6836,438.6829,18.94257,0.0,0.0,91.41926,5.128282,0.399572,17.35149,22.21348,127.111,10.04607,33.57806,43.018,4.002844,36.12747,19.62818,22.46592,0.0,148.1385,0.350214,2.7,1052.576,88.51802,4.209689,2.11988,47.3436,27.47201,81.7056,1052.88,9.08
2018-11-17 07:10:00,132.6232,119.2086,0.772895,655.7558,357.4031,640.0,298.3527,633.929,33.16347,0.0,0.0,100.2327,5.039402,0.399747,17.31865,22.0661,127.1552,9.895933,33.46257,42.86532,4.000769,36.1391,21.0218,21.72617,0.0,148.1899,0.350294,2.7,1053.03,88.54097,17.5088,2.1326,47.72109,27.15608,81.74527,1073.065,9.08
2018-11-17 07:20:00,131.0193,118.0879,0.773276,648.273,352.6189,640.0,295.6541,730.5573,37.80106,0.0,0.0,99.85205,5.0249,0.399928,17.34067,22.03637,127.3482,9.671585,33.49494,42.60279,3.998144,36.1333,19.31539,21.54373,0.0,148.0274,0.349546,2.7,1052.452,88.48035,9.176239,2.078256,47.53993,27.15608,81.84797,1069.057,9.08
2018-11-17 07:30:00,131.2312,117.9696,0.77085,668.812,354.7266,640.0,314.0854,714.7968,36.58001,0.0,0.0,99.89445,5.002604,0.39927,17.33987,21.93956,127.5682,9.313955,33.47585,42.04843,4.001361,36.13518,20.91489,23.99368,0.0,148.1033,0.349162,2.7,1052.938,88.5624,12.52102,2.109039,47.72744,27.3357,81.83467,1064.67,9.08
2018-11-17 07:40:00,132.4676,119.2653,0.774749,661.4774,357.24,640.0,304.2374,491.9087,24.7048,0.0,0.0,58.74534,4.570498,0.400806,17.25893,21.52995,127.6497,8.927873,33.3247,41.82198,3.999441,36.14661,21.0471,22.19124,0.0,148.1724,0.349274,2.7,1053.093,88.53854,16.65661,2.104494,47.61554,27.38249,81.89099,1072.35,9.08
2018-11-17 07:50:00,132.4514,119.2461,0.770113,645.0012,360.2428,640.0,284.7584,393.2884,16.50465,0.0,0.0,101.0674,4.529015,0.399881,17.30505,21.49001,127.715,8.730552,33.40214,41.43259,3.992788,36.14449,21.3552,22.20343,0.0,148.2728,0.348605,2.700001,1052.915,88.54656,15.525,2.11547,47.71795,27.38249,81.86367,1069.399,9.08
2018-11-17 08:00:00,133.9027,120.5532,0.772117,653.2188,361.8395,640.0,291.3793,714.0557,37.68272,0.0,0.0,99.8899,4.541318,0.39922,17.28478,21.49411,127.7256,8.7337,33.32335,41.33824,3.9985,36.16151,21.63496,22.56882,0.0,148.324,0.347581,2.699999,1052.855,88.40477,16.9682,2.099663,47.28276,27.38249,81.82304,1073.432,9.08
2018-11-17 08:10:00,134.3512,120.8842,0.770988,656.4792,353.7597,640.0,302.7194,660.9614,33.18181,0.0,0.0,99.48364,4.597774,0.399914,17.29649,21.61749,127.0143,8.770626,33.33913,41.63828,4.016877,36.14004,21.87023,20.87023,0.0,148.0705,0.346792,2.7,1052.936,88.49615,18.84549,2.098427,47.49915,27.51274,81.94469,1075.006,9.08
2018-11-17 08:20:00,134.3968,121.0204,0.770581,677.2924,348.3142,640.0,328.9781,548.5729,28.33296,0.0,0.0,100.1105,4.666988,0.39943,17.34564,21.73892,126.7763,9.205286,33.44572,42.01865,3.996704,36.14401,22.49644,24.88766,0.0,147.9008,0.346043,2.7,1052.43,88.69318,19.83831,2.09463,47.8793,27.71362,81.98009,1080.161,9.08
2018-11-17 08:30:00,135.2975,121.841,0.770167,663.6303,346.7399,640.0,316.8905,644.1225,33.83263,0.0,0.0,100.2159,4.850888,0.399944,17.34698,21.92663,126.7348,9.508254,33.44549,42.06099,4.061843,36.12948,23.51425,21.67744,0.0,147.8304,0.346775,2.7,1053.011,88.59473,26.58428,2.102393,47.71002,27.75929,82.06135,1092.299,9.08
